                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4239,                 1.5153,                 1.0245,                0.42963,                0.36195,                0.34693,                0.20712,                 1.3285,                 1.0899,                0.97953,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3834,                 1.1827,                0.99105,                0.47224,                0.37933,                0.36721,                0.21954,                 1.3165,                 1.0837,                0.98269,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4169,                 1.1747,                0.99556,                0.44719,                0.37637,                0.36055,                0.21194,                 1.3323,                 1.0891,                0.99086,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4183,                 1.1586,                 1.0005,                0.46933,                0.38258,                0.37613,                0.21902,                 1.3435,                 1.0716,                0.98948,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3926,                 1.1175,                0.99175,                0.49413,                0.38686,                0.39448,                0.23318,                 1.3231,                 1.0386,                0.98484,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3804,                 1.0838,                0.98738,                0.48626,                0.40159,                0.39786,                0.23549,                 1.3037,                 1.0271,                 0.9796,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4115,                 1.1288,                0.99729,                0.49835,                0.39905,                0.39891,                0.24516,                 1.3835,                 1.1533,                 1.0262,               0.009978,               0.009978,               0.009978
                      8,                 1.5043,                 1.2508,                 1.0403,                0.51112,                0.41891,                0.42775,                0.26004,                 1.4157,                 1.1791,                 1.0502,              0.0099701,              0.0099701,              0.0099701
                      9,                  1.495,                 1.2427,                 1.0482,                0.53332,                0.41677,                0.43204,                0.25974,                 1.4149,                 1.1785,                 1.0549,               0.009961,               0.009961,               0.009961
                     10,                 1.4827,                 1.2181,                  1.049,                0.50708,                0.43102,                 0.4293,                0.26233,                 1.4045,                 1.1584,                 1.0515,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4676,                 1.2045,                  1.051,                0.52045,                0.43223,                0.44462,                0.26948,                 1.3879,                 1.1573,                 1.0526,              0.0099391,              0.0099391,              0.0099391
                     12,                  1.465,                 1.1899,                 1.0496,                0.55087,                0.43515,                0.45606,                0.27559,                 1.3841,                 1.1453,                 1.0508,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4512,                 1.1718,                 1.0501,                0.54128,                0.43728,                 0.4487,                0.27294,                 1.3896,                 1.1389,                 1.0633,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4396,                 1.1515,                 1.0475,                0.55699,                0.43607,                0.46046,                0.28181,                 1.3731,                 1.1139,                 1.0545,              0.0098972,              0.0098972,              0.0098972
