class,instances,Precision,Recall,AP50,AP50_95
pedestrian,8844,0.6953492291660707,0.60803314067196,0.6667008316891371,0.34403300929817787
people,5125,0.6451134257337788,0.4932682926829268,0.5276575713649148,0.23295440863007638
bicycle,1287,0.47209207933489455,0.3201243201243201,0.33116456658858245,0.1656155704154864
car,14064,0.8088377817843464,0.8581484641638225,0.8853413994251315,0.6559053931015488
van,1975,0.6106245127846218,0.549367088607595,0.5702904890144737,0.4178216020712246
truck,750,0.5888415062043728,0.43866666666666665,0.47566604455022354,0.33007241988661734
tricycle,1045,0.502878682306961,0.4385134750329162,0.40015956412389136,0.23850250030620926
awning-tricycle,532,0.3702170958211435,0.2424812030075188,0.21013683652827184,0.135929166286313
bus,251,0.801203137732798,0.6262187714923689,0.7092353786048284,0.5421760666116611
motor,4886,0.6416800475353319,0.6334424887433483,0.6392366046558222,0.32560446397379567
