                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss, train/reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,   val/reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1983,                0.78968,                  1.002,                0.01368,                0.61233,                0.51868,                 0.5403,                0.33619,                 1.3118,                0.96819,                 1.0697,                0.00517,              0.0021211,              0.0019975,              0.0019975
                      2,                 1.1967,                0.78957,                 1.0007,                0.00401,                0.61529,                0.51678,                0.54017,                0.33593,                 1.3122,                0.96611,                 1.0686,                0.00461,              0.0019951,              0.0019951,              0.0019951
                      3,                 1.1976,                 0.7866,                 1.0009,                 0.0035,                0.61143,                0.51988,                0.54027,                0.33625,                 1.3119,                0.96444,                  1.068,                0.00432,              0.0019803,              0.0019803,              0.0019803
                      4,                 1.1938,                0.78338,                 1.0002,                 0.0033,                 0.6099,                0.52037,                0.54015,                0.33621,                 1.3116,                0.96484,                 1.0678,                0.00413,               0.001956,               0.001956,               0.001956
                      5,                 1.1941,                  0.785,                 1.0004,                0.00317,                0.61394,                0.51774,                0.54015,                0.33605,                  1.312,                0.96492,                 1.0681,                0.00395,              0.0019222,              0.0019222,              0.0019222
                      6,                 1.2025,                0.78765,                 1.0016,                0.00305,                0.61418,                0.51828,                0.54031,                0.33621,                 1.3119,                0.96398,                 1.0674,                0.00404,              0.0018794,              0.0018794,              0.0018794
                      7,                 1.2013,                0.78874,                 1.0018,                0.00298,                 0.6121,                0.51914,                0.54029,                0.33624,                 1.3122,                0.96424,                 1.0677,                0.00378,              0.0018281,              0.0018281,              0.0018281
                      8,                    1.2,                0.78759,                  1.001,                0.00291,                0.61027,                0.52082,                0.54032,                0.33627,                 1.3122,                0.96382,                 1.0677,                0.00386,              0.0017688,              0.0017688,              0.0017688
                      9,                 1.1983,                0.78685,                 1.0004,                0.00289,                0.61049,                0.52091,                0.54027,                0.33631,                 1.3122,                0.96405,                 1.0678,                0.00373,              0.0017022,              0.0017022,              0.0017022
                     10,                 1.1972,                0.78353,                 1.0001,                 0.0028,                0.61044,                 0.5218,                0.54023,                0.33636,                 1.3122,                0.96452,                  1.067,                0.00392,               0.001629,               0.001629,               0.001629
                     11,                 1.1982,                0.78514,                 1.0023,                0.00281,                0.61001,                0.52067,                0.54034,                0.33634,                 1.3124,                0.96452,                 1.0678,                0.00377,                0.00155,                0.00155,                0.00155
                     12,                 1.2028,                0.78776,                0.99988,                0.00277,                 0.6114,                0.52116,                0.54042,                0.33639,                 1.3122,                0.96391,                 1.0674,                0.00363,              0.0014661,              0.0014661,              0.0014661
                     13,                 1.2002,                0.78689,                 1.0009,                0.00276,                 0.6092,                0.52082,                0.54042,                0.33625,                 1.3125,                0.96446,                 1.0677,                0.00367,              0.0013781,              0.0013781,              0.0013781
                     14,                 1.2006,                 0.7852,                 1.0016,                0.00275,                0.61165,                0.52076,                0.54044,                0.33629,                 1.3126,                0.96369,                 1.0672,                0.00376,              0.0012871,              0.0012871,              0.0012871
                     15,                 1.2032,                0.78807,                 1.0021,                0.00275,                0.61169,                0.52055,                 0.5404,                0.33647,                  1.312,                0.96377,                 1.0664,                0.00389,              0.0011941,              0.0011941,              0.0011941
                     16,                 1.1938,                0.78237,                0.99902,                0.00275,                0.61224,                0.51936,                0.54063,                0.33652,                 1.3121,                0.96402,                 1.0673,                0.00369,                 0.0011,                 0.0011,                 0.0011
                     17,                 1.2001,                0.78587,                 1.0009,                0.00271,                0.61306,                0.52021,                0.54055,                 0.3363,                 1.3124,                0.96385,                 1.0673,                0.00363,              0.0010059,              0.0010059,              0.0010059
