                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4243,                 1.5185,                 1.0239,                0.43082,                0.36087,                0.34702,                0.20678,                 1.3345,                 1.0863,                 0.9836,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3818,                 1.1843,                0.99037,                0.46622,                0.37308,                0.36118,                0.21572,                 1.3247,                 1.1047,                0.98173,               0.040037,              0.0066621,              0.0066621
                      3,                 1.4185,                 1.1741,                0.99593,                0.46343,                0.37383,                 0.3634,                0.21257,                 1.3419,                 1.0937,                0.99649,               0.010035,              0.0099934,              0.0099934
                      4,                 1.4198,                 1.1613,                 1.0008,                0.48405,                0.38259,                0.38243,                0.22557,                 1.3404,                 1.0593,                0.98889,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.3889,                 1.1158,                 0.9911,                0.47617,                0.40131,                0.39572,                0.23492,                 1.3226,                  1.045,                 0.9824,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.3821,                  1.086,                0.98838,                0.47664,                0.39177,                0.39009,                0.23291,                 1.3136,                 1.0357,                0.98439,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.4343,                 1.1598,                 1.0058,                0.49345,                0.39083,                0.39812,                0.24114,                 1.4096,                  1.194,                 1.0337,               0.009978,               0.009978,               0.009978
                      8,                 1.5066,                 1.2569,                 1.0446,                0.51273,                0.40972,                0.41693,                0.25386,                 1.4204,                 1.1875,                 1.0587,              0.0099701,              0.0099701,              0.0099701
                      9,                 1.4913,                 1.2379,                 1.0489,                 0.5127,                0.41343,                0.42655,                0.26143,                 1.4001,                 1.1707,                 1.0477,               0.009961,               0.009961,               0.009961
                     10,                 1.4794,                 1.2144,                 1.0495,                 0.5242,                0.41709,                0.42831,                0.26215,                 1.3979,                 1.1564,                 1.0513,              0.0099506,              0.0099506,              0.0099506
                     11,                 1.4653,                 1.2018,                 1.0526,                 0.5257,                0.42802,                0.44264,                 0.2701,                 1.3817,                 1.1465,                 1.0481,              0.0099391,              0.0099391,              0.0099391
                     12,                 1.4605,                 1.1845,                 1.0493,                 0.5403,                0.43575,                0.45472,                0.27678,                 1.3847,                 1.1241,                 1.0541,              0.0099263,              0.0099263,              0.0099263
                     13,                 1.4487,                   1.17,                 1.0502,                0.53807,                0.44172,                0.45519,                0.27748,                 1.3826,                 1.1167,                 1.0586,              0.0099123,              0.0099123,              0.0099123
                     14,                 1.4367,                 1.1498,                 1.0492,                0.54096,                0.44022,                0.46188,                0.28196,                 1.3799,                  1.112,                  1.061,              0.0098972,              0.0098972,              0.0098972
                     15,                 1.4352,                 1.1461,                 1.0507,                0.53827,                0.44005,                0.45903,                0.28087,                 1.3772,                   1.11,                 1.0546,              0.0098808,              0.0098808,              0.0098808
                     16,                 1.4172,                 1.1217,                 1.0463,                0.55361,                0.44593,                0.47036,                0.28585,                  1.367,                 1.0981,                 1.0581,              0.0098632,              0.0098632,              0.0098632
                     17,                 1.4198,                 1.1153,                 1.0483,                0.55683,                0.44473,                0.47019,                0.28798,                  1.361,                 1.0949,                 1.0585,              0.0098445,              0.0098445,              0.0098445
                     18,                 1.4174,                 1.1066,                 1.0485,                0.54353,                0.44934,                0.46989,                0.28797,                 1.3615,                 1.0906,                 1.0569,              0.0098246,              0.0098246,              0.0098246
                     19,                 1.4048,                 1.0973,                 1.0451,                0.56219,                0.45748,                0.47646,                0.29091,                 1.3638,                 1.0816,                 1.0627,              0.0098035,              0.0098035,              0.0098035
                     20,                 1.3947,                 1.0843,                 1.0471,                0.58261,                0.44699,                0.47971,                0.29251,                 1.3557,                 1.0834,                 1.0602,              0.0097812,              0.0097812,              0.0097812
                     21,                 1.3976,                 1.0832,                 1.0476,                0.56249,                0.45671,                0.47877,                0.29545,                  1.353,                 1.0676,                 1.0625,              0.0097577,              0.0097577,              0.0097577
                     22,                 1.3914,                 1.0716,                 1.0494,                0.57148,                0.46925,                0.49161,                0.30065,                 1.3532,                 1.0644,                 1.0594,              0.0097331,              0.0097331,              0.0097331
                     23,                 1.3833,                  1.066,                 1.0451,                0.56806,                0.46499,                0.48892,                0.29997,                 1.3441,                 1.0629,                   1.06,              0.0097074,              0.0097074,              0.0097074
                     24,                 1.3741,                 1.0515,                 1.0416,                0.56492,                0.47546,                 0.4949,                0.30309,                 1.3512,                 1.0502,                 1.0588,              0.0096804,              0.0096804,              0.0096804
                     25,                 1.3759,                 1.0505,                 1.0442,                0.57615,                0.47381,                0.49297,                0.30254,                 1.3531,                 1.0645,                 1.0634,              0.0096524,              0.0096524,              0.0096524
                     26,                 1.3701,                 1.0494,                 1.0462,                0.58069,                0.47351,                0.49766,                0.30505,                 1.3448,                 1.0516,                 1.0623,              0.0096232,              0.0096232,              0.0096232
                     27,                 1.3656,                 1.0378,                 1.0436,                0.57727,                0.47873,                 0.5024,                0.30936,                  1.341,                 1.0488,                 1.0656,              0.0095929,              0.0095929,              0.0095929
                     28,                  1.369,                 1.0332,                 1.0455,                0.57064,                0.47985,                0.49832,                0.30805,                 1.3314,                 1.0432,                 1.0601,              0.0095614,              0.0095614,              0.0095614
                     29,                 1.3631,                   1.03,                 1.0441,                0.59039,                0.47827,                0.50337,                 0.3106,                 1.3417,                 1.0413,                 1.0655,              0.0095289,              0.0095289,              0.0095289
                     30,                 1.3593,                 1.0233,                 1.0434,                 0.5828,                0.47903,                0.50394,                0.30947,                  1.337,                 1.0392,                 1.0628,              0.0094952,              0.0094952,              0.0094952
                     31,                 1.3582,                 1.0189,                 1.0436,                0.58483,                 0.4814,                0.50639,                0.31166,                 1.3369,                 1.0335,                 1.0624,              0.0094605,              0.0094605,              0.0094605
                     32,                  1.357,                 1.0148,                  1.042,                0.61022,                0.48116,                0.51312,                0.31719,                 1.3316,                  1.026,                 1.0643,              0.0094246,              0.0094246,              0.0094246
                     33,                 1.3458,                 1.0065,                 1.0418,                0.59136,                0.47717,                 0.5072,                0.31272,                 1.3326,                 1.0271,                 1.0652,              0.0093877,              0.0093877,              0.0093877
                     34,                 1.3559,                  1.006,                 1.0441,                0.59452,                0.48005,                0.51358,                0.31767,                  1.329,                 1.0183,                 1.0602,              0.0093497,              0.0093497,              0.0093497
                     35,                 1.3433,                0.99725,                 1.0397,                0.59463,                0.48292,                0.51644,                 0.3196,                 1.3274,                 1.0143,                 1.0624,              0.0093107,              0.0093107,              0.0093107
                     36,                 1.3445,                0.99576,                 1.0427,                0.58926,                0.49638,                0.52152,                0.32289,                 1.3215,                 1.0112,                 1.0628,              0.0092706,              0.0092706,              0.0092706
                     37,                 1.3395,                0.99088,                 1.0429,                0.59438,                 0.4903,                0.51963,                0.32026,                 1.3231,                 1.0109,                 1.0628,              0.0092294,              0.0092294,              0.0092294
                     38,                 1.3329,                0.98028,                 1.0402,                0.59992,                0.49086,                0.52273,                 0.3247,                 1.3191,                 1.0052,                 1.0605,              0.0091872,              0.0091872,              0.0091872
                     39,                 1.3277,                0.97763,                 1.0389,                 0.6094,                0.48931,                0.52493,                0.32429,                  1.324,                 1.0066,                 1.0622,               0.009144,               0.009144,               0.009144
                     40,                 1.3259,                 0.9761,                 1.0405,                0.60998,                 0.4915,                0.52566,                 0.3265,                 1.3164,                0.99721,                 1.0634,              0.0090998,              0.0090998,              0.0090998
                     41,                 1.3289,                0.96609,                 1.0389,                 0.6068,                0.49904,                0.52807,                0.32812,                 1.3205,                0.99871,                 1.0641,              0.0090546,              0.0090546,              0.0090546
                     42,                 1.3239,                 0.9686,                 1.0365,                 0.6109,                0.49384,                 0.5267,                 0.3261,                  1.316,                0.99786,                  1.062,              0.0090084,              0.0090084,              0.0090084
                     43,                 1.3215,                0.96468,                 1.0394,                0.59655,                0.49614,                0.52318,                0.32473,                 1.3138,                0.99363,                 1.0642,              0.0089613,              0.0089613,              0.0089613
                     44,                 1.3194,                0.96117,                 1.0372,                0.60493,                 0.4963,                0.52752,                0.32556,                 1.3164,                0.99381,                  1.063,              0.0089131,              0.0089131,              0.0089131
                     45,                 1.3155,                0.95741,                 1.0363,                0.61533,                0.49908,                0.53217,                0.32967,                 1.3111,                0.98967,                 1.0637,               0.008864,               0.008864,               0.008864
                     46,                 1.3159,                0.95085,                 1.0365,                0.61577,                0.49486,                0.52728,                 0.3271,                 1.3159,                0.98738,                 1.0649,               0.008814,               0.008814,               0.008814
                     47,                 1.3216,                0.95226,                 1.0385,                 0.6117,                0.49098,                0.52536,                0.32531,                 1.3163,                0.99198,                 1.0635,               0.008763,               0.008763,               0.008763
